address	class	file	action	baseline	new_status	behaviour	reason
004374b0	CPlayerGui	CPlayerGui_Open_004374b0.cpp	skip				NOT_GENUINE
00437500	CPlayerGui	CPlayerGui_UpdateTimer_00437500.cpp	skip				NO_THIS_STRUCT
00437580	CPlayerGui	CPlayerGui_SetSpecialAbilityButtonsAsDisplaying_00437580.cpp	skip				NOT_GENUINE
004375f0	CPlayerGui	CPlayerGui_SetVWindowForDeprecatedDrawInterface_004375f0.cpp	skip				NOT_GENUINE
00437670	CPlayerGui	CPlayerGui_DrawScreenFade_00437670.cpp	skip				NOT_GENUINE
00437940	CPlayerGui	ConsvalstdallocatorstdpairEHeroMorphTypeCParticleMorphsCEntrystdpairEHeroMorphTy_CEntryconst_00437940.cpp	skip				NO_THIS_STRUCT
00437950	CPlayerGui	CPlayerGui_OnHeroHit_00437950.cpp	skip				NOT_GENUINE
004379f0	CPlayerGui	CPlayerGui_HideScreenshotMessage_004379f0.cpp	skip				NO_EXACT_MAP(+0x248 sub)
004382e0	CPlayerGui	CPlayerGui_SetButtonAlpha_004382e0.cpp	skip				NOT_GENUINE
00438400	CPlayerGui	CPlayerGui_Close_00438400.cpp	skip				NOT_GENUINE
006e7290	CGameScriptInterface	CGameScriptInterface_EndLetterBox_006e7290.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED
006e7300	CGameScriptInterface	CGameScriptInterface_IsCameraPosOnScreen_006e7300.cpp	retype	MATCH	MATCH	PASS	RETYPED
006e7340	CGameScriptInterface	CGameScriptInterface_GetGameAngleXY_006e7340.cpp	skip				NO_THIS_STRUCT
006e7410	CGameScriptInterface	CGameScriptInterface_NewScriptFrame_006e7410.cpp	skip				NO_THIS_STRUCT
006e7460	CGameScriptInterface	CGameScriptInterface_PostAddScriptedEntities_006e7460.cpp	skip				NOT_GENUINE
006e76e0	CGameScriptInterface	CGameScriptInterface_SetTimer_006e76e0.cpp	skip				NO_EXACT_MAP(+0x3c tree)
006e7710	CGameScriptInterface	CGameScriptInterface_GetTimer_006e7710.cpp	skip				NO_EXACT_MAP(+0x3c map)
006e79e0	CGameScriptInterface	CGameScriptInterface_RegisterTimer_006e79e0.cpp	skip				NO_THIS_STRUCT
006e7d20	CGameScriptInterface	CGameScriptInterface_TraceMessage_006e7d20.cpp	skip				NO_THIS_STRUCT
006e7d30	CGameScriptInterface	CGameScriptInterface_SetCreatureCreationDelayFrames_006e7d30.cpp	skip	MATCH	SRC_FAIL		PARITY_CHANGED(MATCH->SRC_FAIL)
006e7d40	CGameScriptInterface	CGameScriptInterface_ResetCreatureCreationDelayFrames_006e7d40.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088de00	CGameScriptInterface	CGameScriptInterface_Error_0088de00.cpp	skip				NO_THIS_STRUCT
0088de10	CGameScriptInterface	CGameScriptInterface_GiveThingItemInHand_0088de10.cpp	skip				NO_THIS_STRUCT
0088df80	CGameScriptInterface	CGameScriptInterface_HeroGoDigging_0088df80.cpp	skip	RELOCATION_MATCH	SRC_FAIL		PARITY_CHANGED(RELOCATION_MATCH->SRC_FAIL)
0088e070	CGameScriptInterface	CGameScriptInterface_GetWorldFrameCGameScriptInterfaceUBEJXZ_0088e070.cpp	skip				NO_THIS_STRUCT
0088e080	CGameScriptInterface	CGameScriptInterface_GetConstantFPS_0088e080.cpp	skip				NO_THIS_STRUCT
0088e090	CGameScriptInterface	CGameScriptInterface_SetAllSoundsAsMuted_0088e090.cpp	skip				NO_THIS_STRUCT
0088e0b0	CGameScriptInterface	CGameScriptInterface_SetSoundThemesAsEnabledForRegion_0088e0b0.cpp	skip				NO_THIS_STRUCT
0088e100	CGameScriptInterface	CGameScriptInterface_IsXbox_0088e100.cpp	skip				NO_THIS_STRUCT
0088e110	CGameScriptInterface	CGameScriptInterface_GiveHeroTitle_0088e110.cpp	skip				NOT_GENUINE
0088e130	CGameScriptInterface	CGameScriptInterface_GiveHeroWeapon_0088e130.cpp	skip				NO_THIS_STRUCT
0088e210	CGameScriptInterface	CGameScriptInterface_DisplayTime_0088e210.cpp	skip				NO_THIS_STRUCT
0088e300	CGameScriptInterface	CGameScriptInterface_IsRegionLoaded_0088e300.cpp	skip				VIRTUAL_THIS
0088e340	CGameScriptInterface	CGameScriptInterface_GetRegionName_0088e340.cpp	skip	RELOCATION_MATCH	RELOCATION_MATCH	TCC_FAIL	BEHAV_FAIL(TCC_FAIL)
0088e400	CGameScriptInterface	CGameScriptInterface_MiniMapSetAsEnabled_0088e400.cpp	skip	RELOCATION_MATCH	RELOCATION_MATCH	TCC_FAIL	BEHAV_FAIL(TCC_FAIL)
0088e4c0	CGameScriptInterface	CGameScriptInterface_FadeScreenIn_0088e4c0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED
0088e4d0	CGameScriptInterface	CGameScriptInterface_IsScreenFadingOut_0088e4d0.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088e4f0	CGameScriptInterface	CGameScriptInterface_PauseCGameScriptInterfaceUBEXMZ_0088e4f0.cpp	skip				NO_THIS_STRUCT
0088e500	CGameScriptInterface	CGameScriptInterface_FixMovieSequenceCamera_0088e500.cpp	skip				NO_THIS_STRUCT
0088e520	CGameScriptInterface	CGameScriptInterface_EndCutFadeCGameScriptInterfaceUAEXXZ_0088e520.cpp	skip	RELOCATION_MATCH	SRC_FAIL		PARITY_CHANGED(RELOCATION_MATCH->SRC_FAIL)
0088e6f0	CGameScriptInterface	CGameScriptInterface_AreEntitiesEnemies_0088e6f0.cpp	skip				NO_THIS_STRUCT
0088e910	CGameScriptInterface	CGameScriptInterface_SetAllowScreenFadingOnNextRegionChange_0088e910.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088e920	CGameScriptInterface	CGameScriptInterface_SetAllowScreenFadingIfAlreadyFaded_0088e920.cpp	skip				NO_EXACT_MAP(+0x2d allowFadeIfFaded sign char vs bool)
0088e930	CGameScriptInterface	CGameScriptInterface_SetToDisplayTutorialsDuringCutscenes_0088e930.cpp	skip				NO_THIS_STRUCT
0088e950	CGameScriptInterface	CGameScriptInterface_StartProgressDisplay_0088e950.cpp	skip				NO_THIS_STRUCT
0088e9e0	CGameScriptInterface	CGameScriptInterface_IsInMovieSequence_0088e9e0.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088ec60	CGameScriptInterface	CGameScriptInterface_SetHeroGuideToShowQuestCardsWhenSpokenTo_0088ec60.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088ec70	CGameScriptInterface	CGameScriptInterface_EntityClearMaxNumberOfAttackers_0088ec70.cpp	skip				NOT_GENUINE
0088ec90	CGameScriptInterface	CGameScriptInterface_CameraSetCameraPreloadFlag_0088ec90.cpp	retype	MATCH	MATCH	PASS	RETYPED
0088ecc0	CGameScriptInterface	CGameScriptInterface_IsCameraInScriptedMode_0088ecc0.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED
006e7290	CGameScriptInterface	CGameScriptInterface_EndLetterBox_006e7290.cpp	retype	RELOCATION_MATCH	RELOCATION_MATCH	PASS	RETYPED
006e7300	CGameScriptInterface	CGameScriptInterface_IsCameraPosOnScreen_006e7300.cpp	retype	MATCH	MATCH	PASS	RETYPED
006e7340	CGameScriptInterface	CGameScriptInterface_GetGameAngleXY_006e7340.cpp	skip				NO_THIS_STRUCT
006e7410	CGameScriptInterface	CGameScriptInterface_NewScriptFrame_006e7410.cpp	skip				NO_THIS_STRUCT
006e7460	CGameScriptInterface	CGameScriptInterface_PostAddScriptedEntities_006e7460.cpp	skip				NOT_GENUINE
006e76e0	CGameScriptInterface	CGameScriptInterface_SetTimer_006e76e0.cpp	skip				NO_EXACT_MAP(+0x3c tree)
006e7710	CGameScriptInterface	CGameScriptInterface_GetTimer_006e7710.cpp	skip				NO_EXACT_MAP(+0x3c map)
006e79e0	CGameScriptInterface	CGameScriptInterface_RegisterTimer_006e79e0.cpp	skip				NO_THIS_STRUCT
006e7d20	CGameScriptInterface	CGameScriptInterface_TraceMessage_006e7d20.cpp	skip				NO_THIS_STRUCT
006e7d30	CGameScriptInterface	CGameScriptInterface_SetCreatureCreationDelayFrames_006e7d30.cpp	retype	MATCH	MATCH	PASS	RETYPED(test kept)
006e7d40	CGameScriptInterface	CGameScriptInterface_ResetCreatureCreationDelayFrames_006e7d40.cpp	retype	MATCH	MATCH	PASS	RETYPED
