address	name	module	checker_verdict	origin	snapshot	declaration_header	sha256	bytes	integrity	integrity_detail	host_cpp20_syntax	compiler_errors	first_blocker	missing_dependencies	vc71_incompatibilities	vc71_features	compile_ready
00401067	entry	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00401067_global_entry.cpp		4eb19f1aa019d4270b84c97426f6ff3cddc1e3bc1e2983ca4eb88abd5ba61fba	6600	PASS		FAIL	9	static assertion failed	_exception;_startupinfo;startupInfoArgs	50	auto:6;nullptr:3;static_assert:11;std-fixed-width:30	0
00401296	__onexit	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00401296_global_onexit.cpp		2d4b2b837dd64603b6c05cb6e0d59ef025aa96b922662ae35ae2f75a5a094efd	519	PASS		PASS	0			0		1
004012ce	__RTC_Initialize	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004012CE_global_RTC_Initialize.cpp		97ddab1f0f288d3647cfd5d3df1ae48ed9596bb2af445723261c976b5942615b	339	PASS		PASS	0			2	nullptr:1;using-alias:1	0
00401356	initterm	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00401356_MSVCR71.DLL_initterm.cpp		76f9b200542becad7649d50717c8865c0f62af79b614aecdb7c106208041a3fe	114	PASS		FAIL	2	expected '(' before '{' token	jmp	0		0
0040135c	__setdefaultprecision	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040135C_global_setdefaultprecision.cpp		85749a919c76341f799c8e13edbc5ce65929e664e3b541997d753f1a2e600bc1	110	PASS		PASS	0			0		1
0040138c	__SEH_prolog	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040138C_global_SEH_prolog.cpp		9fc22d5559456d734d00ef2ce7b7da4073f560d241ee760a1d97f46fdd24efea	792	PASS		FAIL	2	expected '(' before '{' token	push	2	std-fixed-width:2	0
004013c7	__SEH_epilog	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004013C7_global_SEH_epilog.cpp		49ffbc5c44f85601075ec1175f7f3fbceac359250ad5dfa1dc87c64d96f3dddf	299	PASS		FAIL	2	expected '(' before '{' token	mov	0		0
004013de	__dllonexit	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004013DE_MSVCR71.DLL_dllonexit.cpp		590b906237e1863ac3a80b896bbad2cc5c0d05efdb184d37b373e2271335bff4	117	PASS		FAIL	2	expected '(' before '{' token	jmp	0		0
00401c00	GFHandleSystemInitError	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00401C00_global_GFHandleSystemInitError.cpp		19358ffaa77be114b2abb2897f4261f99127fe065025b03b44f38401bca6e8e5	9788	PASS		PASS	0			5	static_assert:2;std-fixed-width:3	0
00401f30	GFGetBuildNumber2	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00401F30_global_GFGetBuildNumber2.cpp		09f0c8e5199269c2c3cf9dbcc9e5d7799a5b4a71f3bb3ac5b4d04bef2df73ebc	2569	PASS		PASS	0			8	static_assert:5;std-fixed-width:3	0
00402130	MyDocuments_CheckWritePermissions	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00402130_global_MyDocuments_CheckWritePermissions.cpp		88c6b83f854f71f6faf78beedffaab4cc19bc4fabc88b5a866d3176a9e315421	6575	PASS		PASS	0			29	nullptr:5;static_assert:11;std-fixed-width:8;using-alias:5	0
004022b0	GFInitialise	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004022B0_global_GFInitialise.cpp		b062f10a5bdcfef8018bf4ed3b9a6a1a218ae27016fa07ff83cf82210af7367c	4991	PASS		FAIL	5	invalid use of incomplete type 'struct CDisplayManager'	struct CDisplayManager	47	auto:6;static_assert:9;std-fixed-width:32	0
00403480	_WinMain@16	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00403480_global_WinMain_16.cpp		66b1b6495a82ce235835aecedaa67fb6a658e4fcf2bcb8a1598b26aace97ff04	1865	PASS		PASS	0			16	nullptr:2;static_assert:2;std-fixed-width:6;using-alias:6	0
00403c60	MemCmp_Unsigned16	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00403C60_global_MemCmp_Unsigned16.cpp		8792e14a94594933ed90e48936912abe315d0d7453904592fa448611306607ba	508	PASS		PASS	0			6	auto:1;std-fixed-width:5	0
00404280	WideString_EqualsLen	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00404280_global_WideString_EqualsLen.cpp		e3b27cae494949be85f20323cf0a94580259e20069ef4fbcc95a23e20942cac0	1166	PASS		PASS	0			17	static_assert:3;std-fixed-width:14	0
00404310	CCharString_ComputeCRC32	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00404310_global_CCharString_ComputeCRC32.cpp		fa21a7b0d952db422c26d61babb25753bee3785dbf406dd886f92ecc44fa5d33	796	PASS		PASS	0			9	nullptr:3;static_assert:3;std-fixed-width:3	0
00404690	std_list_node_Init	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00404690_global_std_list_node_Init.cpp		58580018a271a3982a1a6e01944cea95ec7dd5fdf0e2ce7da4d04c8f5d70a76c	590	PASS		PASS	0			6	auto:1;nullptr:1;static_assert:3;std-fixed-width:1	0
004046f0	ListNode_Create_Circular	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x004046F0_global_ListNode_Create_Circular.cpp		5061bdbf39b36ffb0794c478e245ff4dfbf69b784dd2c85bcaa13feddebb22e5	596	PASS		PASS	0			6	auto:1;nullptr:1;static_assert:3;std-fixed-width:1	0
00404a90	$E2	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00404A90_global_E2.cpp		2e5a23b28091a5607ed583896cb7af5d35b11074673d7d543cc92436d26dcccb	1175	PASS		PASS	0			20	std-fixed-width:20	0
00405ba0	Std_Move_Backward	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00405BA0_global_Std_Move_Backward.cpp		d03cf41ab059e8167636be8411753f095dd89cfd4e8644d1e9e3b06bffb0c2df	431	PASS		PASS	0			4	auto:1;std-fixed-width:3	0
00406770	$E2	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00406770_global_E2.cpp		545a801f843e0f0bd4a735176adba734b9a1ba496238c4671791b0ba59483cbb	42	PASS		PASS	0			0		1
00409090	Engine_FindPrimitiveInArray	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x00409090_global_Engine_FindPrimitiveInArray.cpp		dec9553ae390324de5f8ea086d49a58dbfd073b723e66ab2b647418554ca5d00	2191	PASS		PASS	0			10	nullptr:5;static_assert:1;std-fixed-width:4	0
0040bb90	CUserProfileManager_SaveAndCleanup	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040BB90_global_CUserProfileManager_SaveAndCleanup.cpp		c0c46c0ceff4612066ae871fbacdf0f16371b1d42e05476bf7538fc2dc2fb741	2109	PASS		PASS	0			22	auto:1;nullptr:1;static_assert:7;std-fixed-width:13	0
0040cec0	CUserProfileManager_Constructor	_global	FAIL	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\0x0040CEC0_global_CUserProfileManager_Constructor.cpp		6f9d462f635039a13a752e6fa2e9b73bb943d312ccc247e157b7b6d199a7b464	14968	PASS		PASS	0			99	auto:1;nullptr:18;static_assert:25;std-fixed-width:54;using-alias:1	0
